Zone,Zone place
A0,?0 – Parking lot - Sredno Vodno
,?02 – Parking lot - Pantelejmon
,?06 – “Maksim Gorki” st.
A,"?1 – ""VMRO"" st."
,?3 – “Dame Gruev” st. (near the Police Station)
,?4 – “Dame Gruev” st. (near the Parliament of RM)
,?5 – “Orce Nikolov” st. (in the Center)
,?7 – “Luj Paster” st.
,?8 – “11 Mart” st.
?,?2 – behind Hotel “Bristol”
,?3 – opposite Ramstore mall
,?5 – behind church “St. Cyril and Methodius”
,"?6 – ""Veljko Vlahovik"" st."
,?7 – “Kazandziska” st.
C,C8 - “Kosta Shahov” st.
,"C9 - “Debarca” st., “Nikola Trimpare” st."
,C11 - “Orce NIkolov” st. (in Karpos)
,C12 - “Antonio Grubishik” st.
,C14 - “Debarca” st.
,C15 - “Guro Gakovik” st.
,C16 - “Naum Naumovski Borche” st.
,C17 - “Leninova” st.
,C19 - “29 November” st.
,C33 - Transport centre
,"C35 - ""Stale Popov"" st."
,C45 - “Kej Dimitar Vlahov” st.
,C46 - “Kej Dimitar Vlahov” st.
,C80 - ZOO
,C81 - Skopje City Council
D,"D3 - behind mall 'Biser', Municipality Aerodrom"
,"D4 - near the supermarket 'Vero', Municipality Aerodrom"
,"D5 - ""Vladimir Komarov"" st., Municipality Aerodrom"
,"D6 - ""Vladimir Komarov"" st., Municipality Aerodrom"
,"D7 - across mall 'Biser', Municipality Aerodrom"
,"D8 - ""Bojmija"" st."
,"D40 - Hospital ""8th of September"""
,"D62 - Tennis-court ""ABC"""
